Column 1,Column 2
E87.2,E10
E87.2,E11
E87.2,E13
H28,E08.36
H28,E09.36
H28,E10.36
H28,E11.36
H28,E13.36
E16.2,E08.649
E16.2,E10.649
E16.2,E11.649
E16.2,E13.649
E16.1,E08.649
E16.1,E10.649
E16.1,E11.649
E16.1,E13.649
E16.1,P70.1
E16.1,P70.4
E16.0,E09.649
E34,E20.1
N25.81,E21.1
M26.0,E22.0
M26.0,Q87.0
E87.1,E22.2
N25.1,E23.2
E87,E23.2
E87,O21.1
E87,O08.5
E87,G72.3
E66,E23.6
E66,E88.2
E66,E88.2
E66,Q87.11
E34.2,E24.3
E24,E25.0
R62,E30.0
R62,Q99.1
R62,E23.0
R62.52,E34.3
E22.0,E34.4
E22.0,E34.4
E22.0,E16.8
E40,E42
E41,E42
H11.14,E50.0
H11.14,E50.1
H18.44,E50.4
H53.0,E50.5
H53.6,E50.5
H53.1,E50.5
H53.1,R44.1
G32.8,E51.2
D51,E53.8
D52,E53.8
D81.81,E53.8
D53.2,E54
E83.31,E55.0
M83,E55.0
M83,N25.0
M83,E55.0
M83,E64.3
M83,E83.3
M83,E83.3
T45.7X6,E56.1
D53.8,E61.0
D53.8,E61.5
D53.8,E60
D53.8,E61.1
E46,E63.9
E50,E64.1
E51,E64.8
E52,E64.8
E53,E64.8
E56,E64.8
E59,E64.8
E66.01,E66.2
D72.0,E70.330
E70.32,E70.330
E70.32,E70.331
E72.0,E70.5
E72.3,E71.313
E72.3,G60.1
E72.3,E71.510
E71.4,E71.314
Q77.3,E71.43
E71.3,E71.5
E71.3,G60.1
E71.3,G37.0
Q87.8,E71.510
E75.2,E71.528
E27.4,E71.528
E27.4,A39.1
N29,E72.0
N29,A54.21
N29,A52.75
N29,A18.11
E72.1,E72.04
E72.1,E72.01
E72.1,D51.2
E72.04,E72.09
E71.313,E72.3
E72.2,E72.4
E72.20,E72.4
E72.20,P74.6
R82.992,E72.53
E74.1,E74.09
E88.4,E74.4
E88.4,H49.81
E88.4,H47.22
E88.4,G31.82
E88.4,G71.3
E88.4,G93.7
R81,E74.818
E78.7,E75.242
E78.2,E75.5
E78.2,E78.49
L98.6,E78.89
D53.0,E79.1
P57.8,E80.5
Q84.1,E83.0
N20,E83.5
N20,N13.2
E21.2,E83.52
Q33.0,E84.0
Q33.0,J98.4
P76.0,E84.11
Q41,E84.11
Q41,P76.0
E23,E89.3
E29.1,E89.5
F06,F03
F99,F09
G47.5,F10.182
G47.5,F10.282
G47.5,F10.982
G47.5,F11.182
G47.5,F11.282
G47.5,F11.982
G47.5,F13.182
G47.5,F13.282
G47.5,F13.982
G47.5,F14.182
G47.5,F14.282
G47.5,F14.982
G47.5,F15.182
G47.5,F15.282
G47.5,F15.982
G47.5,F19.182
G47.5,F19.282
G47.5,F19.982
G47.5,F51.8
F11.22,F11.23
F11.92,F11.93
F14.22,F14.23
F15.22,F15.23
F15.92,F15.93
F19.92,F19.93
F20.0,F22
F20.0,F22
F20.3,F23
F09,F29
F22,F30.2
F22,F31.2
F22,F31.5
F22,F31.64
F22,F32.3
F22,F33.3
F22,F20.0
N94.3,F32.81
F41.0,F40.01
F40.01,F41.0
L98.1,F42.4
R49,F44.4
R29.0,F44.5
R29.0,P71.3
R29.0,E20.9
R29.0,E89.2
G40,F44.5
G40,R56.9
G40,R56.1
G40,R56.9
G40,P90
R20,F44.6
R20,F45.8
M54,F45.41
G47.63,F45.8
N94.6,F45.8
R06.4,F45.8
R06.6,F45.8
R13.1,F45.8
R14,F45.8
R30,F45.8
R33,F45.8
R35,F45.8
M79,F45.8
M79,F45.41
M26.5,F45.8
M26.5,F45.8
F50.2,F50.02
F50.02,F50.2
R63,F50.2
R13.0,F50.9
N52,F52.21
N53.1,F52.4
N94.2,F52.5
N94.1,F52.6
O90.6,F53.0
O90.6,F53.1
Z72.6,F63.0
L65,F63.3
F64.2,F64.0
F64.1,F64.2
Z72.5,F65
H93.25,F80.2
F84.0,F84.5
F80.82,F84.5
F80.82,F84.0
F84.3,F84.5
F84.3,F84.0
F84.3,F84.2
F84.2,F84.5
F84.2,F84.0
F84.2,F84.3
F94.2,F94.1
F94.1,F94.2
G25.69,F95.9
G25.69,F95.9
G25.69,F95.2
R15,F98.1
R47.82,F98.5
R47.82,F80.81
R47.82,I69
F80.81,F98.5
F80.81,R47.82
F80.81,I69
F29,F99
F29,F09
G36,G04.01
G00,G04.2
G00,G04.2
A80,G04.82
G37.3,G04.82
G37.3,G35
G37.3,G36.0
D82,G11.3
E31,G11.3
E31,G71.11
E31,E20.1
Q85,G11.3
Q85,G90.1
G80,G11.4
B91,G14
M89.6,G14
G21.11,G21.0
G21.0,G21.11
G24.4,G24.01
G24.5,G24.01
I02,G25.5
I02,G10
R25.1,G25.5
R25.1,G25.0
R25.1,F44.4
R25.1,G25.2
G30,G31.1
G30,F03
G30,R41.81
G90,G31.2
G32.81,G31.2
G32.81,G13.2
G93.4,G31.2
G93.4,G94
G93.4,I67.4
G20,G31.83
G21,G31.83
G21,G10
G21,G90.3
G21,A52.19
E71.5,G37.0
G04.82,G37.3
R56.01,G40.901
H34,G45.3
H54,G45.3
R29.5,G45.9
F45.8,G47.63
R29.810,G51.0
R29.810,I69
M62.5,G54.5
M62.5,G12.21
M62.5,M62.84
M77.4,G57.6
E71.51,G60.1
Q80,G60.1
P94.0,G70.0
G72.3,G71.19
G70.81,G73.1
I95.1,G90.3
I95.1,I95.2
Q04.6,G93.0
R53.82,G93.3
G04,G93.40
G98.0,G95.0
G98.0,A52.11
N31,G95.89
N31,G83.4
N31,G95.89
G83.4,G95.89
G83.4,N31.9
G95.89,G95.9
H92.1,G96.0
G96.0,G97.0
G96.11,G97.41
H16.26,H10.44
Z98.4,H27.0
G36.0,H46
H73.0,H65
H73.0,H66
H73.1,H65
H73.1,H66
H65.3,H74.1
H93.0,H91.1
I00,I01.0
I00,I01.9
I33,I01.1
I33,I38
I40,I01.2
I25.110,I20.0
I25.700,I20.0
I25.710,I20.0
I25.720,I20.0
I25.730,I20.0
I25.790,I20.0
I25.111,I20.1
I25.701,I20.1
I25.711,I20.1
I25.721,I20.1
I25.731,I20.1
I25.791,I20.1
I25.118,I20.8
I25.708,I20.8
I25.718,I20.8
I25.728,I20.8
I25.738,I20.8
I25.798,I20.8
I25.119,I20.9
I25.709,I20.9
I25.719,I20.9
I25.729,I20.9
I25.739,I20.9
I25.799,I20.9
I24.8,I21.A1
I22,I21.A1
I22,I21.A9
I31.2,I23.0
I51.0,I23.1
I51.0,I23.2
I51.1,I23.4
I51.2,I23.5
I51.3,I23.6
I24.1,I23.7
I30,I24.1
I30,I01.0
I30,B33.23
I25.812,I25.76
I25.75,I25.811
I25.76,I25.812
I25.7,I25.812
I25.7,I25.810
I25.7,I25.811
I24.9,I25.9
I27.2,I27.83
I31.3,I30.9
I23.0,I31.2
I05.1,I34.0
I09.1,I38
Q24,I42.4
R94.31,I45.81
I45.5,I45.9
I48.20,I48.19
I48.1,I48.21
I50.814,I50.82
I23.1,I51.0
I23.2,I51.0
Q21,I51.0
I23.4,I51.1
I23.5,I51.2
I23.6,I51.3
I09.0,I51.4
I67.0,I60.7
I67.6,I63.6
I60.7,I67.1
I72.0,I67.1
I72.0,I67.1
G93.2,I67.4
G93.2,G91.1
J37.1,I69
R47.02,I69
R47.1,I69
R47.8,I69
R48.2,I69
R47.01,I69
R47.01,G31.01
N28.0,I70.1
N28.0,Q27.1
N28.0,I70.1
R20.2,I73.8
R23.0,I73.8
R23.0,P28.2
Q27.3,I77.0
K76.5,I82.0
L03.91,I89.1
G90.3,I95.1
I89.0,I97.2
I15,I97.3
J04.0,J05.0
J04.2,J05.0
J38.4,J05.0
J38.4,J04.0
J02,J06.0
J02,J36
J02,J39.1
J02,J39.0
J22,J06.9
J02.9,J09.X2
J02.9,J10.1
J02.9,J11.1
J03.9,J09.X2
J03.9,J10.1
J03.9,J11.1
A08,J09.X3
A08,J10.2
A08,J11.2
H67,J09.X9
H67,J10.83
H67,J11.83
H67,B05.3
H67,A38.0
H67,A18.6
B97.21,J12.81
J15.4,J15.3
J15.4,J13
J18.0,J18.2
J18.0,J69.1
B97.4,J21.0
B97.4,J20.5
B97.4,J12.1
J39,J22
J39,J06.9
J39,J68.2
J06,J22
J06,J09.X2
J06,J10.1
J06,J11.1
J06,J02.0
R07.0,J31.2
R07.0,J02.9
J01,J32.9
J32.2,J33.1
J35.3,J35.03
J39.0,J36
J20,J40
J20,J40
J37.1,J42
J98.2,J43.9
J98.2,P25.0
J98.2,T81.82
J98.2,T79.7
J30,J45.909
J30,J31.0
J39.3,J67.9
J39.3,J60
J39.3,J67
J67,J68.0
J68.4,J68.1
J84.1,J68.4
J84.1,J70.1
J84.8,J69.1
J84.8,J69.1
J45,J69.8
J45,J82
J45,J60
J45,R06.2
J45,J67.8
J84.89,J84.116
J84.89,J84.113
J84.89,J69.1
J84.89,J84.2
J84.11,J84.2
J84.11,B59
E88.89,J84.82
C96.0,J84.82
C96.0,C96.5
C96.0,C96.6
J69.1,J84.89
J84.113,J84.89
J84.116,J84.89
J70.2,J84.9
J70.2,J84.2
J70.3,J84.9
J70.3,J84.2
J70.4,J84.9
J70.4,J84.2
R09.1,J90
J61,J92.0
J61,A15
J61,J65
J90,J94.0
J90,J91.0
J90,R09.1
J90,A15.6
J69.0,J95.4
J69.0,O74.0
Z99.12,J95.850
S02.5,K03.81
K08.53,K03.81
K08.53,S02.5
K05.2,K04.4
K05.2,K04.7
K05.2,K04.6
K05.3,K04.5
M27.1,K06.8
K11.21,K11.22
K13.21,K13.3
K13.21,K13.24
L98.5,K13.79
L98.5,E03.9
K22.4,K14.4
K22.4,K22.0
R58,K26.0
R58,K29.01
R58,K51.01
R10.13,K30
K63.2,K31.6
K63.2,K50.013
K63.2,K50.113
K63.2,K50.813
K63.2,K50.913
K63.2,K51.013
K63.2,K51.213
